Session ID	案例总数	PMID	年份	案例详情
021f0905-912a-4327-b96f-d20c8d40b977	4	38057678	2024	[{"case_id":"case_001","case_type":"animal","metal_type":"砷","metal_compound":"未指定","species":"Tenualosa ilisha, Gudusia chapra, Otolithoides pama, Setipinna phasa, Mystus vittatus, Glossogobius giuris, Pseudeutropius atherinoides","exposure_route":["水体污染"],"exposure_dose":{"value":1.53,"unit":"mg/kg"},"is_fatal":false,"study_design":"测量孟加拉国Rupsha河流域淡水鱼类中的金属(loid)浓度，包括砷、铅、镉和铬"},{"case_id":"case_002","case_type":"animal","metal_type":"铅","metal_compound":"未指定","species":"Tenualosa ilisha, Gudusia chapra, Otolithoides pama, Setipinna phasa, Mystus vittatus, Glossogobius giuris, Pseudeutropius atherinoides","exposure_route":["水体污染"],"exposure_dose":{"value":1.25,"unit":"mg/kg"},"is_fatal":false,"study_design":"测量孟加拉国Rupsha河流域淡水鱼类中的金属(loid)浓度，包括砷、铅、镉和铬"},{"case_id":"case_003","case_type":"animal","metal_type":"铬","metal_compound":"未指定","species":"Tenualosa ilisha, Gudusia chapra, Otolithoides pama, Setipinna phasa, Mystus vittatus, Glossogobius giuris, Pseudeutropius atherinoides","exposure_route":["水体污染"],"exposure_dose":{"value":0.51,"unit":"mg/kg"},"is_fatal":false,"study_design":"测量孟加拉国Rupsha河流域淡水鱼类中的金属(loid)浓度，包括砷、铅、镉和铬"},{"case_id":"case_004","case_type":"animal","metal_type":"镉","metal_compound":"未指定","species":"Tenualosa ilisha, Gudusia chapra, Otolithoides pama, Setipinna phasa, Mystus vittatus, Glossogobius giuris, Pseudeutropius atherinoides","exposure_route":["水体污染"],"exposure_dose":{"value":0.39,"unit":"mg/kg"},"is_fatal":false,"study_design":"测量孟加拉国Rupsha河流域淡水鱼类中的金属(loid)浓度，包括砷、铅、镉和铬"}]
022684b9-3ab2-4fec-b52b-7707be8d76fd	1			[{"case_id":"case_1","case_type":"human","metal_type":"汞","metal_compound":"未指定","species":"人类","exposure_route":["饮食"],"exposure_dose":{"value":"未指定","unit":"未指定"},"is_fatal":false,"study_design":"这是一个基于人群的前瞻性出生队列研究，涉及5个欧洲国家（法国、希腊、挪威、西班牙和英国）的母亲及其单胎后代，作为Human Early Life Exposome (HELIX)项目的一部分。研究从2003年4月1日至2016年2月26日进行，数据分析时间为2019年3月1日至8月2日。研究评估了孕期鱼摄入量和汞暴露与儿童代谢综合征及炎症生物标志物变化之间的关联。"}]
0234a5ab-cb0e-40e9-86a4-f82dc4c2cef8	2			[{"case_id":"case_1","case_type":"animal","metal_type":"镉/Cadmium/Cd","metal_compound":"未指定","species":"小鼠","exposure_route":["饮食"],"exposure_dose":{"value":"未指定","unit":"未指定"},"is_fatal":false,"study_design":"比较了肠道微生物群被破坏（给予头孢哌酮钠）、恢复（在抗生素暴露后给予益生菌和益生元）和正常小鼠在摄入共污染大米后肝脏和肾脏中镉和砷的积累。"},{"case_id":"case_2","case_type":"animal","metal_type":"砷/Arsenic/As","metal_compound":"未指定","species":"小鼠","exposure_route":["饮食"],"exposure_dose":{"value":"未指定","unit":"未指定"},"is_fatal":false,"study_design":"比较了肠道微生物群被破坏（给予头孢哌酮钠）、恢复（在抗生素暴露后给予益生菌和益生元）和正常小鼠在摄入共污染大米后肝脏和肾脏中镉和砷的积累。"}]
02367bbf-c9ff-436d-8e5f-51c3907023a4	1			[{"case_id":"case_1","case_type":"animal","metal_type":"铅","metal_compound":"未指定","species":"小鼠","exposure_route":["暴露途径未详细说明"],"exposure_dose":{"value":0.1,"unit":"未指定"},"is_fatal":false,"study_design":"研究了钙（Ca）、铁（Fe）、锌（Zn）、菊花黄酮和meso-2,3-二巯基琥珀酸（DMSA）联合给药对小鼠铅（Pb）中毒治疗的效果。实验动物分为两组，一组为对照组（10只小鼠），另一组为实验组（180只小鼠），实验组暴露于铅，具体剂量未详细说明。"}]
028ad891-5783-40dd-bae9-3bfd31706024	1	33182506	2020	[{"case_id":"case_0001","case_type":"cell","metal_type":"铬","metal_compound":"铬(VI)","species":"SKOV-3卵巢癌细胞系","exposure_route":["体外暴露"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"评估17β-雌二醇及其代谢产物2-甲氧基雌二醇和16α-羟基雌酮与铬(VI)的相互作用对卵巢癌细胞系SKOV-3细胞活力的影响"}]
0298d3c6-f3f4-44ed-a009-913b24597484	1	34129865	2021	[{"case_id":"case_001","case_type":"animal","metal_type":"汞","metal_compound":"methylmercury","species":"goldfish","exposure_route":["environmental exposure"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"In situ mesocosm experiment with common goldfish (Carassius auratus) exposed to different agricultural management practices and hydric conditions in rice paddies."}]
029ce98e-f5a8-427b-a821-16d1e95daa0d	0	39567405	2025	无案例
02a290ce-afa9-4ca7-ad89-37b0d9536b9a	2	39005175	2024	[{"case_id":"case_1","case_type":"human","metal_type":"汞","metal_compound":"elemental mercury","species":"人类","exposure_route":["self-injection"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"Case report of two patients with elemental mercury poisoning by self-injection."},{"case_id":"case_2","case_type":"human","metal_type":"汞","metal_compound":"elemental mercury","species":"人类","exposure_route":["self-injection"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"Case report of two patients with elemental mercury poisoning by self-injection."}]
02aec5dc-0ecd-4b35-bfed-6d2d24716594	1	34578823	2021	[{"case_id":"1","case_type":"animal","metal_type":"铅","metal_compound":"lead acetate","species":"小鼠","exposure_route":["口服"],"exposure_dose":{"value":25,"unit":"mg/kg"},"is_fatal":false,"study_design":"研究了Lycium barbarum polysaccharide (LBP)对铅诱导的小鼠肾脏损伤的疗效和机制。小鼠通过口服25 mg/kg的铅醋酸盐(PbAc(2))诱导肾脏损伤症状，随后给予不同剂量的LBP（200, 400, 和 600 mg/kg BW）治疗五周。"}]
02c044d3-3056-4715-8a1c-1a89f776c9d3	1	33394444	2021	[{"case_id":"case_001","case_type":"animal","metal_type":"铬","metal_compound":"K2Cr2O7","species":"大鼠","exposure_route":["口服"],"exposure_dose":{"value":2,"unit":"mg/kg BW"},"is_fatal":false,"study_design":"研究设计了五组大鼠，包括对照组、单独给予REO组、单独给予Cr VI组、Cr VI暴露前给予REO组以及Cr VI暴露后给予REO组，进行了为期3周的实验。"}]
02cf7f3a-fab4-4742-92d0-689e6c5adab5	1			[{"case_id":"case_1","case_type":"human","metal_type":"铅","metal_compound":"铅","species":"人类","exposure_route":["血液"],"exposure_dose":{"value":24.8,"unit":"μg/l"},"is_fatal":false,"study_design":"比较2018/2019年与1987/1988年德国KORA基于人群的研究中中年个体的血铅水平，这些个体没有主要的当前铅暴露。"}]
03033d26-091e-4490-99a8-805e751c163d	6			[{"case_id":"case_1","case_type":"animal","metal_type":"copper","metal_compound":"Cu","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":0.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"},{"case_id":"case_2","case_type":"animal","metal_type":"cadmium","metal_compound":"Cd","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":0.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"},{"case_id":"case_3","case_type":"animal","metal_type":"lead","metal_compound":"Pb","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":0.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"},{"case_id":"case_4","case_type":"animal","metal_type":"copper","metal_compound":"Cu","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":1.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"},{"case_id":"case_5","case_type":"animal","metal_type":"cadmium","metal_compound":"Cd","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":1.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"},{"case_id":"case_6","case_type":"animal","metal_type":"lead","metal_compound":"Pb","species":"Eisenia fetida","exposure_route":["atmospheric deposition"],"exposure_dose":{"value":1.8,"unit":"year"},"is_fatal":false,"study_design":"fully factorial atmospheric exposure experiment using soils exposed to 0.8-year and 1.8-year atmospheric depositions"}]
030c1c56-143f-49ae-858c-b312a2a352b0	2			[{"case_id":"1","case_type":"cell","metal_type":"铅/Pb","metal_compound":"Pb(2+)","species":"Escherichia coli Rosetta (DE3)","exposure_route":["recombinant protein overexpression"],"exposure_dose":{"value":"micromolar","unit":"concentration"},"is_fatal":true,"study_design":"hPLSCR3 translocated aminophospholipids in the presence of micromolar concentrations of Pb(2+) and Hg(2+)"},{"case_id":"2","case_type":"cell","metal_type":"汞/Hg","metal_compound":"Hg(2+)","species":"Escherichia coli Rosetta (DE3)","exposure_route":["recombinant protein overexpression"],"exposure_dose":{"value":"micromolar","unit":"concentration"},"is_fatal":true,"study_design":"hPLSCR3 translocated aminophospholipids in the presence of micromolar concentrations of Pb(2+) and Hg(2+)"}]
031eecee-62d1-4c6c-a4a2-d7946e4c63ab	2	32887434	2020	[{"case_id":"case_0001","case_type":"cell","metal_type":"铁","metal_compound":"亚铁","species":"Streptococcus suis","exposure_route":["体外"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"通过RNA测序探索Streptococcus suis对亚铁和钴毒性的转录组水平变化"},{"case_id":"case_0002","case_type":"cell","metal_type":"钴","metal_compound":null,"species":"Streptococcus suis","exposure_route":["体外"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"通过RNA测序探索Streptococcus suis对亚铁和钴毒性的转录组水平变化"}]
031f0087-6ab6-40a5-a444-5e98d043c515	1	31170417	2019	[{"case_id":"case_001","case_type":"animal","metal_type":"铅","metal_compound":"铅醋酸","species":"大鼠","exposure_route":["口服"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"研究了大蒜中提取的天然化合物大蒜素对发育期铅暴露引起的大鼠学习和记忆功能的影响。通过莫里斯水迷宫测试来确定学习和记忆功能，测量超氧化物歧化酶(SOD)、谷胱甘肽(GSH)和丙二醛(MDA)来确定氧化应激。通过免疫荧光分析GFAP阳性细胞，使用Western blot检测ERK、p-ERK、EGFR和p-EGFR的蛋白表达。"}]
0326bdad-167e-404f-b0aa-46931fd63dcd	1			[{"case_id":"case_1","case_type":"animal","metal_type":"铅","metal_compound":"lead acetate","species":"rats","exposure_route":["oral"],"exposure_dose":{"value":null,"unit":null},"is_fatal":false,"study_design":"Lactobacillus fermentum CQPC08 was used to study its mitigation effect on lead acetate-induced oxidative stress and lead ion adsorption capacity in rats."}]
03375096-97ed-4e65-82ff-326c17f7d3b8	1	32105852	2020	[{"case_id":"case_1","case_type":"animal","metal_type":"汞","metal_compound":"Hg","species":"cowpea","exposure_route":["soil"],"exposure_dose":{"value":[0.2,1,2,5,8],"unit":"mg kg(-1)"},"is_fatal":false,"study_design":"评估三种不同基因型的豇豆（Vigna unguiculata L. Walp）在金矿区汞污染土壤中的植物修复能力，比较了一种本地基因型与两种商业品种L-019和L-042。植物在不同浓度的Hg土壤中培养（即0.2, 1, 2, 5和8 mg kg(-1)）。"}]
